epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1026.49,0.63744,0.57716,0.98566,0.92391,0.87334,0.93623,0.7796,0.68228,0.55247,1.0211,0.00085548,0.00028516,0.00085548,0.00028516,0.00085548,0.00028516,0.00085548,0.00028516
31,1060.67,0.63345,0.5511,0.98188,0.89377,0.89281,0.93581,0.78656,0.67584,0.5468,1.01557,0.0008436,0.0002812,0.0008436,0.0002812,0.0008436,0.0002812,0.0008436,0.0002812
32,1094.39,0.6064,0.51868,0.96546,0.8792,0.89937,0.93473,0.78097,0.69034,0.56029,1.02238,0.00083172,0.00027724,0.00083172,0.00027724,0.00083172,0.00027724,0.00083172,0.00027724
33,1128.18,0.61353,0.54545,0.96444,0.93193,0.87498,0.93932,0.78968,0.67317,0.53336,1.00623,0.00081984,0.00027328,0.00081984,0.00027328,0.00081984,0.00027328,0.00081984,0.00027328
34,1162.02,0.59668,0.51697,0.96269,0.93639,0.88075,0.93951,0.78813,0.67636,0.53478,1.01232,0.00080796,0.00026932,0.00080796,0.00026932,0.00080796,0.00026932,0.00080796,0.00026932
35,1195.58,0.61568,0.52353,0.97537,0.89832,0.89176,0.93829,0.78606,0.67654,0.53322,1.00987,0.00079608,0.00026536,0.00079608,0.00026536,0.00079608,0.00026536,0.00079608,0.00026536
36,1228.93,0.59016,0.50639,0.96076,0.91347,0.88864,0.9344,0.78275,0.67606,0.54404,1.00995,0.0007842,0.0002614,0.0007842,0.0002614,0.0007842,0.0002614,0.0007842,0.0002614
37,1262.83,0.60233,0.51494,0.96393,0.92762,0.87001,0.93081,0.77682,0.67551,0.54538,1.0104,0.00077232,0.00025744,0.00077232,0.00025744,0.00077232,0.00025744,0.00077232,0.00025744
38,1295.84,0.59625,0.51218,0.96067,0.91074,0.88066,0.92869,0.77809,0.67342,0.55014,1.00539,0.00076044,0.00025348,0.00076044,0.00025348,0.00076044,0.00025348,0.00076044,0.00025348
39,1329.47,0.60053,0.50095,0.96774,0.88038,0.91156,0.93606,0.78906,0.66463,0.5408,1.00591,0.00074856,0.00024952,0.00074856,0.00024952,0.00074856,0.00024952,0.00074856,0.00024952
40,1362.62,0.58799,0.49314,0.96622,0.92879,0.88319,0.93607,0.78676,0.66863,0.53266,1.00934,0.00073668,0.00024556,0.00073668,0.00024556,0.00073668,0.00024556,0.00073668,0.00024556
41,1396.14,0.5934,0.48496,0.95747,0.92581,0.86163,0.93858,0.79324,0.66588,0.50948,1.01068,0.0007248,0.0002416,0.0007248,0.0002416,0.0007248,0.0002416,0.0007248,0.0002416
42,1429.81,0.57294,0.4753,0.95288,0.93597,0.88258,0.93897,0.79094,0.66662,0.50126,1.00813,0.00071292,0.00023764,0.00071292,0.00023764,0.00071292,0.00023764,0.00071292,0.00023764
43,1462.83,0.58749,0.48924,0.95395,0.9386,0.88168,0.94292,0.79431,0.67242,0.49869,1.01433,0.00070104,0.00023368,0.00070104,0.00023368,0.00070104,0.00023368,0.00070104,0.00023368
44,1496.82,0.5768,0.46562,0.95382,0.90918,0.88725,0.94003,0.78965,0.68066,0.51892,1.01266,0.00068916,0.00022972,0.00068916,0.00022972,0.00068916,0.00022972,0.00068916,0.00022972
45,1530.67,0.57805,0.48231,0.95289,0.91479,0.88197,0.93538,0.78694,0.68301,0.52575,1.01315,0.00067728,0.00022576,0.00067728,0.00022576,0.00067728,0.00022576,0.00067728,0.00022576
46,1563.87,0.57224,0.47891,0.95549,0.91082,0.88363,0.93159,0.78475,0.67029,0.52799,1.00399,0.0006654,0.0002218,0.0006654,0.0002218,0.0006654,0.0002218,0.0006654,0.0002218
47,1598.11,0.58241,0.47228,0.95872,0.93111,0.87813,0.94278,0.79112,0.6694,0.49389,1.00175,0.00065352,0.00021784,0.00065352,0.00021784,0.00065352,0.00021784,0.00065352,0.00021784
48,1631.37,0.57395,0.46774,0.95397,0.93031,0.88441,0.94091,0.79208,0.68021,0.51094,1.00805,0.00064164,0.00021388,0.00064164,0.00021388,0.00064164,0.00021388,0.00064164,0.00021388
49,1665.13,0.56583,0.47489,0.9553,0.92072,0.89898,0.93953,0.79301,0.67766,0.50456,1.01222,0.00062976,0.00020992,0.00062976,0.00020992,0.00062976,0.00020992,0.00062976,0.00020992
50,1698.8,0.56813,0.45076,0.95009,0.89484,0.90417,0.94198,0.79113,0.6812,0.51233,1.02121,0.00061788,0.00020596,0.00061788,0.00020596,0.00061788,0.00020596,0.00061788,0.00020596
51,1731.83,0.57106,0.46058,0.95116,0.88998,0.92179,0.94271,0.79352,0.68116,0.4964,1.01945,0.000606,0.000202,0.000606,0.000202,0.000606,0.000202,0.000606,0.000202
52,1766.15,0.56585,0.44183,0.94951,0.90117,0.91166,0.94347,0.79734,0.67843,0.50028,1.01684,0.00059412,0.00019804,0.00059412,0.00019804,0.00059412,0.00019804,0.00059412,0.00019804
53,1800.33,0.55998,0.43615,0.94102,0.91855,0.90491,0.9451,0.79604,0.67309,0.49595,1.01496,0.00058224,0.00019408,0.00058224,0.00019408,0.00058224,0.00019408,0.00058224,0.00019408
54,1833.56,0.55275,0.44187,0.95454,0.91602,0.89428,0.94277,0.79542,0.6767,0.50032,1.01885,0.00057036,0.00019012,0.00057036,0.00019012,0.00057036,0.00019012,0.00057036,0.00019012
55,1867.38,0.54068,0.44555,0.94352,0.90985,0.89863,0.9424,0.79473,0.68336,0.48624,1.02251,0.00055848,0.00018616,0.00055848,0.00018616,0.00055848,0.00018616,0.00055848,0.00018616
56,1901.16,0.54567,0.43638,0.94364,0.90814,0.90643,0.9362,0.78488,0.69535,0.49849,1.03101,0.0005466,0.0001822,0.0005466,0.0001822,0.0005466,0.0001822,0.0005466,0.0001822
57,1934.67,0.55275,0.44832,0.94502,0.91698,0.88658,0.94087,0.79265,0.68258,0.50586,1.0221,0.00053472,0.00017824,0.00053472,0.00017824,0.00053472,0.00017824,0.00053472,0.00017824
58,1968.24,0.54046,0.4196,0.93687,0.91432,0.88254,0.93755,0.79298,0.68008,0.51105,1.02327,0.00052284,0.00017428,0.00052284,0.00017428,0.00052284,0.00017428,0.00052284,0.00017428
59,2001.45,0.54269,0.43182,0.94066,0.92626,0.87555,0.9366,0.78739,0.67967,0.51447,1.01811,0.00051096,0.00017032,0.00051096,0.00017032,0.00051096,0.00017032,0.00051096,0.00017032
60,2035.48,0.53591,0.42243,0.9453,0.92026,0.88202,0.93509,0.78815,0.68474,0.51665,1.02009,0.00049908,0.00016636,0.00049908,0.00016636,0.00049908,0.00016636,0.00049908,0.00016636
61,2069.66,0.5388,0.43715,0.93858,0.90945,0.88592,0.9394,0.7908,0.68718,0.50615,1.01944,0.0004872,0.0001624,0.0004872,0.0001624,0.0004872,0.0001624,0.0004872,0.0001624
62,2102.47,0.53739,0.42366,0.93789,0.91954,0.89318,0.94456,0.79655,0.68549,0.49438,1.0249,0.00047532,0.00015844,0.00047532,0.00015844,0.00047532,0.00015844,0.00047532,0.00015844
63,2136.48,0.53808,0.4202,0.94013,0.92239,0.89298,0.94657,0.79913,0.676,0.48308,1.01567,0.00046344,0.00015448,0.00046344,0.00015448,0.00046344,0.00015448,0.00046344,0.00015448
64,2171.29,0.53659,0.42574,0.93608,0.92846,0.8941,0.94553,0.79697,0.68172,0.48531,1.01947,0.00045156,0.00015052,0.00045156,0.00015052,0.00045156,0.00015052,0.00045156,0.00015052
65,2204.87,0.5178,0.40815,0.93864,0.92952,0.89913,0.94711,0.80093,0.68132,0.49332,1.02301,0.00043968,0.00014656,0.00043968,0.00014656,0.00043968,0.00014656,0.00043968,0.00014656
66,2238.8,0.5332,0.42499,0.93573,0.91798,0.89633,0.94316,0.79583,0.67936,0.49866,1.02145,0.0004278,0.0001426,0.0004278,0.0001426,0.0004278,0.0001426,0.0004278,0.0001426
67,2272.35,0.52846,0.41751,0.93973,0.92522,0.87663,0.94169,0.79325,0.67088,0.51068,1.01745,0.00041592,0.00013864,0.00041592,0.00013864,0.00041592,0.00013864,0.00041592,0.00013864
